bot or human,userid,text
b,1221525212,Check out #Vintage #Germany #porcelain #trinket #box Roses https://t.co/s60Bk7QPeD #eBay via @eBay Check out #Royal #Porcelain #PORZELLAN #avaria KM #Germany #candleholder candlestick handmade paint bird https://t.co/jbSJvEYGKo #eBay via @eBay Check out #Vintage #Germany Import parrot #bird #figurine #figure #porcelain European Pottery https://t.co/JK4lj39ouB #eBay via @eBay
b,2198146752,#protest #danger #war 1 book grasp of 150 subj site:AtomBomb killed many &amp; many fear it Has it added to Modern World https://t.co/8VczNlNUwg #economists History's 1st book of its kind site: Cannot 1 party #China demonetise like #Modi https://t.co/gp9KpsjOLS https://t.co/McfhJfV9Su #PUtin #putinazo #putinkiller #putinday Empowering encyclopedia site:#Syrian #Problem ?sol https://t.co/NYjxalUq7p https://t.co/SrG8l83vl0
b,2982513384,"Mixed Punch #Butterfly Caterpillars (Dodona ouida, Riodinidae)
https://t.co/NwVdyL73ck
#insect #China #Yunnan #entomology #Lepidoptera #caterpillar #itchydogimages https://t.co/m9m6TaFayy"
b,3346687911,"#China #NEV 2021 subsidies: Â¥ 22.203677B
Vehicles approved for subsidies: 1,569,366
Top 10 OEM share: 82.5%
ğŸ¥‡#BYD
ğŸ¥ˆTesla
ğŸ¥‰#GAC
(MIIT) https://t.co/Av0pYNQbdc"
b,4728608742,"Amazon account suspended? eBay account banned? Problems with your ad account?

â— Find out what you can do about account bans!

&gt;&gt; https://t.co/plFUTW98iY

#accountban #ebayseller #amazonseller #ecommerce #affiliate #affiliatetips https://t.co/ULFpzZunzA"
b,799610377122131972,@BlackthornDish @bolno_i_smechno @oksana_seme The Bruh
b,863454944682283009,"âœ¨ Twitch Affiliate SANSANMAKINSAN has been unbanned after 1 week, 18 minutes!

https://t.co/bePLIQF5PE
#unban #csharp #twitch #sansanmakinsan #affiliate ğŸ”¨ Twitch affiliate bukhadhour has been banned!

https://t.co/JFHZv5fRiz
#ban #csharp #twitch #bukhadhour #affiliate ğŸ”¨ Twitch affiliate entre2parties has been banned!

https://t.co/FtuoFwph42
#ban #csharp #twitch #entre2parties #affiliate"
b,1434169821772582920,"Want something to do with your children whilst in the Bavarian Alps, #Germany? Then check out Freizeitpark Ruhpolding, a fun day out! Check out our experience here:

https://t.co/N7hsvFfLRV"
b,1443954660121919492,"@Ralvero Are you looking for #security and #privacy of your data while chatting or sharing your files?

#Cypherdog offers the highest level of security for file transfer, cloud storage, and messaging. 
#CDOG #Biden #cybersecurity #dataprotection https://t.co/WwAJVARVKK @newliisting Are you looking for #security and #privacy of your data while chatting or sharing your files?

#Cypherdog offers the highest level of security for file transfer, cloud storage, and messaging. 
#CDOG #Biden #cybersecurity #dataprotection https://t.co/WwAJVARVKK"
b,1448047748541042689,"Chinatown Film Festival å›½éš›æ˜ åƒ
  aug 28th 2022  #jackiechan of china of #losangeles in #china   of movie #jackiechanmovie world karate movie ğŸ¥ğŸ¥ğŸ¥ğŸ¥ğŸ¥ğŸ¬ğŸ¬ğŸ¬ğŸ¬ğŸ¬ğŸ¬ https://t.co/2uGClsnRId"
b,1469388088745074693,"@NickYashika My favorite portrait from you ğŸ–¤ @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ One piece from my â€œI am planet Earthâ€ collection ğŸ–¤
 #KatoOGgo 
@humilevskyi @alexisolinart @cvatikphotog https://t.co/E8OetzMaFm @krispodobed2 @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ @NickYashika @darklunni Thank you so much for tagging â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸ @humilevskyi As always ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ @dawidimach @NudeYogaGirl @Sadowskaphoto @aylaelmoussa @dominikacuda @punk6529 @bort_tv @PashaYouz @soulthesea_ @faepaulinee @JamesFelixRaw @TwoBrooklyners Yeeeeeeeeee ğŸ”¥ Letâ€™s go Iâ€™m sooo happy to see my â€œOrigin of Lifeâ€ displayed like this ğŸ–¤
Nude Neighbourhood party in @OM100m ğŸ”¥
Thank you sooooo much, girls @NudeYogaGirl â™¥ï¸ @aylaelmoussa 
Youâ€™re all make this community so fucking amazing ğŸ”¥ https://t.co/PHsORpa0TB @alexisolinart @RealKatoOG @Oggooo @BurtonesqueNFTs @nicolas_bets @BitcoinCollette @BenjaminBitcoin @NudeYogaGirl @artguy_eth @minwjr @aliyuuuuster @NitoPhotoVlc @kvnbnntt @chissweetart @P1AbyPIA @nottolittlegirl @crispycocoart @soliiiart1 @vnusart_ @humilevskyi @cvatikphotog @darklunni My mistake ğŸ™ˆ"
b,1483440931550474244,"@UltimumSanctus @AntoinetteColby @LerouxArthur10 @Antoine_Gavory @SoniaBackes @Interieur_Gouv @SG_CIPDR @PrefetOccitanie @ARS_OC @ordre_medecins @Sante_Gouv ""Myocarditis and pericarditis, inflammation of the heart muscle or the outer lining of the heart mainly affecting young men and adolescents â€œsuspected,â€ but not confirmed, cases showed a reporting rate of under 2 suspected cases per 100,000 doses of those vaccines in #Germany."""
b,1489544198743228418,"950 from Gujarat used fake IELTS scores to move to #US, #Canada | Ahmedabad News - Times of India
#Biden #BidenAdministration #USA  #blinken #UK  https://t.co/Yy3WzOhIBc"
b ,196050258,"Which one are you taking to learn #Chinese with us?
#China #TAIWAN #Korea #Singapore #Japanese #learning #langtwt 
---
https://t.co/wl5DWW1Kiu https://t.co/4En1ViLyOT"
h,1537783216492490756,"@welt Ach,  nee? #Nordstream2 #Nordstream2OEffnen"
h,1539886766123261952,Write down your wish and it will come true this week #China #hanfu  #chineseclothing  #chinastyle  #Hangzhou #ChineseCulture #classicaldance #MakeAWish https://t.co/NeEBGkVbTr
h,1547624960478158849,@TobiasTheVegan @brrdknng @Ghandy1337 @zerohedge Does #Biden care about you?
h,1548348534289625088,"#Sevastopol now , coincidence ? Yes but try to convince a Russian war criminal on high alert that Maria didnt leave Constantinople that fateful night and that real or not the city soon fell #SlavaUkraini #CrimeaIsUkraine https://t.co/UpPtFfyGFI The amount of of vedios coming out of #Crimea of air defense basically panicking reminds me of 2001 when out of desperation air defense was just being randomly fired  with the hope it catches something randomly ,#panic is the word"
h,1552506598576525313,Cloud. #Xinjiang #China https://t.co/632huP3rM1
h,1555046099492159488,"In #China, August 19 is reserved to celebrate #MedicalWorkers'Day. It is also a reminder for society to respect them and their work. This year marks the fifth Medical Workers' Day. https://t.co/lx4CQD0c2c Live: Cixi is a historical coastal village in east #China's Zhejiang. Our host Lucy is at the Cixi mud beach right now. But will she catch some succulent seafood as a newbie? Let's find out! #Talent #AGlimpseofChina https://t.co/eukasvoYd9 A video clip of the  raising ceremony of the national flag in the rain on August 18, 2022. This video clip is shot by a netizen. #China https://t.co/dugJnBDdFJ"
h,1555861679279333381,@TheEconomist We live in a world where every region is battling it's own specific problems. It seems difficult everywhere. The question regarding #China is if it's economy will still overtake the US by 2030 or if #covid plus it's troubled property sector will set growth back a decade.
h,1556080660661559296,"@JudiciaryGOP #Biden is being considered for a #NobelPrize â€¦the award is in consideration of his success at overcoming a coup, aiding Ukraine, solving immigration, stopping runaway spending ($7Trillion by trump) and passing historic legislation.

He kicked their ass.

#VoteThemOut @GOP Yeah but #Biden is getting a #NobelPrize 

Another fascist organization that didnâ€™t bother to read the law.

#VoteThemOut"
h,1556189759680434177,"Why #USA and it's stooges like #UK #Canada think they got god given right to dominate the world. Is it because they come from #AngloSaxon ethnicity. Why #Australia thinking it has to bark at #China on behalf of the #USA
Right to live &amp; prosperity must be available to all humans"
h,1557282915410665472,"ğ—Ÿğ—”ğ—§ğ—˜ğ—¦ğ—§: #Japan's largest online broker, SBI Holdings Inc., to stop crypto mining in #Russia.

#CoinEdition #Crypto #cryptocurrency ğ—Ÿğ—”ğ—§ğ—˜ğ—¦ğ—§: #Digital asset exchange, Whitepay, introduces crypto #payments in #Ukrainian tech stores.  

#CoinEdition #Crypto #cryptocurrency #exchange"
h,1558060073699753984,I think #Putin let you driveğŸ¤£ğŸ˜‡ https://t.co/IWUQhLVIl0 Another war crime committed by the #Russians against the #Ukrainians https://t.co/qeNz1Qq9oB
h,1559150397016743939,"What sets us apart from other charities: 

ğŸš¨We supply ambulances as there is an extreme shortage of them in Ukraine;

ğŸš¨We are liaising directly with the hospitals in Ukraine;

ğŸš¨We have all the logistics nailed;

Donating today can save someoneâ€™s life tomorrow. https://t.co/z2vaM2WFGF âœ… The happy medics on the photo have just received an ambulance in Mykolaiv city. ğŸ‡ºğŸ‡¦

@uuf_prosthetics was responsible for a safe delivery. Due to continuous shelling fire going non-stop in the city it took us a day longer than usual to deliver the ambulance. We did it ğŸ’ªğŸ¼ https://t.co/AJxYWFWuub Before/ After 

This is an example of disguise and precaution measures, which are extremely important in hot spots these daysğŸ‘ğŸ»

This emergency vehicle on the photo was delivered to the frontline last week.

Well-coordinated teamwork and clear logistics are importantğŸ‡ºğŸ‡¦ https://t.co/iwIRZAzZAM"
h,1559478186227994627,Why am I scared? #Rhine #Germany https://t.co/piqJPXZl16
h,1559579881830236160,"Ugh my grandma died of covidğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ¤¬ğŸ¤¬ğŸ¤¬ 
FUCK U CHINA! #i #hate #china #asians #covid #death #ripgrandma #bozo"
h,1559650740129280001,"Decorate your place with original, hand-drawn, digitally printed or AI-generated ancient #China #artwork. Follow @chinapaintings2

Our #art comes with frames, frameless or wood hangings, shipped to you directly from China.

Enjoy!

https://t.co/dcDU1I7pGI

#chinaart #chineseart Do you love Chinese art? Decorate your place with original, handdrawn, digital or ai-generated ancient Chinese paintings! Visit https://t.co/dcDU1I7pGI 

Follow @chinapaintings2 

#china #ChinaArt #chineseart #art #paintings https://t.co/Enue3LskFO"
h,1560188097903693825,"Hello world from 4 month we r facing brutal torture harassment only bcz #US #Israel #india want us their slave.all human right @hrw orz is silent on this bcz they get aids from these countries
Just informing you that b carefull might b next country is will b yours
#Turkey #china https://t.co/NsbbSBU7OX #Russian #iran #dubai #internetdown #PinkVenomOutTODAY #JaeminDeserveBetter do not aid any human right org"
h,1560219340619894787,Guys zombie outbreak in China #China
h,1560302184306118656,@joncoopertweets He sold most of them already! #putin #northkorea #china #SaudiArabia https://t.co/pgwlGavRLA
h,1560328574850043904,"@SabirShakirPK Now punjabis can feel the pain of Balochis, Sindhis and Pashtoons. This is how ISI torture them and there is no reporting even on media. 
Let's submit petition to #IMF #NATO to interfere. IMF only give dollars when roug army @OfficialDGISPR surrender nukes."
h,1560517337635139584,https://t.co/TEPSorOwZK #Yu Cheng Ming669 #China Girls Sexy Dance #Baby Dance With Me via @gifkeyboard