userid,text
16133530,"Latest Defence Intelligence update on the situation in Ukraine - 19 August 2022
 
Find out more about the UK government's response: https://t.co/H4kJ85x7OH

ğŸ‡ºğŸ‡¦ #StandWithUkraine ğŸ‡ºğŸ‡¦ https://t.co/yODxnSBw7g The @BritishArmy is training Ukrainian volunteers as part of the UKâ€™s pledge to train up to 10,000 recruits over the coming months. 

The training consists of battlefield skills that will teach them how to survive in frontline combat. 
 
ğŸ‡ºğŸ‡¦ #StandWithUkraine ğŸ‡ºğŸ‡¦ https://t.co/poqeya591U"
19536434,"I find the anonymous claim that State's fear of grain deal falling apart as a big argument to not designate #Russia as a state-sponsor of #terror difficult believe.
Somewhat akin to ""let's not charge the mass murderer because he volunteers at a food bank.""
https://t.co/jA35GthFb2 #RUSSIA: 6 hired couriers were caught trying to fly out of #Moscow to Dubai and Yerevan (Armenia) with 225kg of #Gold, worth USD $13 million. Makes you wonder which Putin regime mafioso this belonged to. https://t.co/cGQKUycpd1 Just so there's no confusion - air defense was active above the #Belbek airfield in occupied #Crimea today. That we do know. However, this video being circulated is from Melitopol, not an airport, and published around August 8th. Different date and completely different place. https://t.co/dGjiAwt8DO This is the beautiful #Crimea in #Ukraine. The Swallow's Nest. Near Yalta and Alushta. I have childhood memories at this cliff. Soon... â¤ï¸â€ğŸ”¥âœŠğŸ‡ºğŸ‡¦ https://t.co/10CG346Jcy"
27493883,"NEW: The U.S. is sending another shipment of weapons worth up to $775 million to Ukraine.
#ArmUkraineNow"
60887207,Seems @BorisJohnson is no longer interested in helping #Ukraine with new military aid. No more phone calls to @ZelenskyyUa . The reason - it can no longer benefit him personally. This is what he is. A conman. A charlatan. A narcissist.
163018653,"Ukrainian military talk to a civilian when RU start shelling. The civilian woman is scared to death. Look at the reaction of the military. 

#StandWithUkraine #ArmUkraineNow https://t.co/rVtVoyks1E In a #Crimea karaoke-bar someone orders ğŸ‡ºğŸ‡¦ rap. Reaction of RU propagandist Soloviov: â€œJail â€˜em for 5 years!!! And burn down the bar!!!â€

#StandWithUkraine #NaziRussia #CrimeaIsUkraine https://t.co/ASUaS2hBTy Impressive. Thank you, Australia!
#StandWithUkraine #ArmUkraineNow https://t.co/eU7WoUot0N Loud â€œkaboomsâ€ in the occupied Sevastopol. Probably fireworks. Ukraineâ€™s Independence Day is near. 

#StandWithUkraine #CrimeaIsUkraine https://t.co/ESns8WpouP"
262219168,"â€œIf thereâ€™s one thing that this war has taught us, itâ€™s the following: stay away from snap judgment and bold prophecies.Â 
Especially when it comes to â€œUkraine is now doomed because of X and Y.â€
https://t.co/k65SR17U9j Yes, there are some specifically talented Ukraine experts who seriously think that the Trident, our countryâ€™s national coat of arms, is a neo-Nazi symbol.
Expertise can really go that deep. @mtracey â€œNo, I am not butt-hurt!ğŸ˜«â€ @JemmyHope1764 Itâ€™s actually a nose diving falcon! Ukrainian troops getting trained in ğŸ‡¬ğŸ‡§Britain https://t.co/grxaTh6JKA"
630995607,"russia continues to shell #Kharkiv daily. The city is standing strong. This is new type of bus stop made of concrete, where people can find shelter during the air alerts. https://t.co/28MMV7nBpa"
1009546724,"Good morning #Ukraine.... Rise and shine!

#SlavaUkraini #FckPutin https://t.co/kOtseSrYNO"
1042307696,"Putin still hopes that the West will get tired and allow him to win in #Ukraine. If this were to happen, it would be the biggest betrayal and there would be no point in even talking about any â€˜face savingâ€™ in the West. Thereâ€™s no option but victory over #Russiaâ€™s neo-Nazis."
2916451034,"Russian Philip Kirkorov rests not only in USA, but also in Monaco.
Ukrainians met him there.

Although Russia promotes hatred of the USA and Europe, and Philip supports it, he still goes there.

#Monaco #Europe #russians #banvisastorussians #war #NoVisasForrussians https://t.co/FuRy72KEA3"
3899254043,"Is #Germany going to open #NS2? No.
Does the fact the Vice Chairman of a ruling coalition party wants to do it undermine ğŸ‡©ğŸ‡ªâ€™s already damaged standing in the world &amp; solidarity with #Ukraineï¸? Yes.

#Kubicki #FDP #wtfgermany #StandWithUkraine https://t.co/VsgPDiGMQT"
725621830837501952,Full Ukrainian soldier Equipment ğŸ˜‡ https://t.co/ne673xv796
792054557501038592,"A great thread. Russia causing comparable artillery destruction to World War II. Ukraine still outgunned. If Russia is not stopped in Ukraine, it leads to much more suffering and war. #ArmUkraineNow Artillery, rockets, armored vehicles, all of it. https://t.co/wOruvdj9dv â€œThe Russian military ended up showing up to the fight with almost no dismounted infantryâ€¦who is going to fight in cities &amp; urban environments if you donâ€™t have infantry?â€¦if you donâ€™t have infantry you canâ€™t hold territoryâ€ @KofmanMichael #Ukraine  https://t.co/Dz09I202bI Massive explosions in #Sevastopol a key (Very key) Russian military base in occupied Ukraine. #SlavaUkraini"
818837224003289088,"20 weeks ago.

In Kyiv, I saw courage, hope &amp; determination in the eyes of Ukrainians. Belief in freedom, in democracy, in the rule of law.

@Europarl_EN will not waiver in our support. We will not leave you alone.

Europe will continue to #StandWithUkraine.

ğŸ‡ªğŸ‡ºğŸ‡ºğŸ‡¦ https://t.co/RAJu9DRp7v"
888449203688677377,"How do Ukrainians really greet Pres. Zelensky in Lviv, Ukraine? 
#Ukraine #Lvov #Lviv https://t.co/fFEtQsrpmH"
941287588056518656,"Almost a serious accident for the Armenian team at the army games in Russia yesterday. They very nearly rolled their tank as they took too much speed around the corner. 
#Armenia #Russia https://t.co/LFjsDk2CIC A complete disaster for the Sudanese tank crew at the army games in Russia. The tank driver got incredibly confused and drove into a field and kept driving, even driving over part of the track to continue into the next field. 
#Russia #Sudan https://t.co/k40PtKyVkl"
1292849327107448835,"@allyourbase2021 I do like beer Great victory clearing this farmers field of mines so they can recover their tractor. It's little victories like this that build Hope, and I promise you, Hope is contagious, Hope is the beam of light in utter darkness, Hope will win the day. https://t.co/QAnWIo79KQ https://t.co/YxajFm2UHa @mack_a_d00 Let me know what you think @HairFlairs Where at in Florida? I live near Pensacola @Mannydefla Let me know what you think @imagardener1 Let me know what you think"
1364639441604800513,"8:42 am in #Kyiv 

Good morning from Ukraine! 
My other window view welcomes new day. 
So #warcoffee, dear world? https://t.co/UMRSho3UPa 5:48 pm in #Kyiv 

My usual #warcoffee place is closed because of air raid alert. So now the red one. Not bad but not perfect. 

Workout in the evening andâ€¦.. sweet nothing. Your plans for Magic Friday? https://t.co/Asbrd0S26w 8:57 pm in #Kyiv 

Came home. It was a looong day. 

The picture is from todayâ€™s shop. Simple generous beauty ğŸ˜ https://t.co/MvE8IMuhfs 12:16 am in #Kyiv 

Good night, dear world. 
My Friday is over ğŸ¥±
Sugar hugs"
1495480590572961792,"#Ukraine: A Ukrainian Husky Tactical Support Vehicle was destroyed by the Russian army in #Kherson Oblast. A batch of these MRAPs was donated to the Ukrainian army by Britain with the first vehicles delivered in June. https://t.co/wBLPTZNC8M #Ukraine: A Russian MT-LB armored personnel carrier with a ZU-23-2 23mm autocannon was destroyed by a T-64BM tank of the Ukrainian 22nd Separate Motorized Infantry Battalion used in the indirect fire role. https://t.co/qqioT9KO7A #Ukraine: A rare beast in the wild - Ukrainian artillerymen using a Estonian ğŸ‡ªğŸ‡ª D-30A 122mm howitzer on the frontline. 
At least 9 of these howitzers were transferred to Ukraine from Estonia starting from March as a part of military aid. https://t.co/q3GjklfJkh #Ukraine: We've all seen plenty of Stugna-P missile strikes, but just as common in the Ukrainian inventory is Soviet-pattern models. Here we see a collection of Bulgarian 9M111MFB-1 Faktoria ATGM recently supplied to Ukrainian forces.

As can be seen, they were made in 2017. https://t.co/bYV0i3BIYc #Ukraine: Another Russian Orlan-10 UAV was taken out by Ukrainian forces in the South today. They managed to recover a free DSLR! https://t.co/4r5ePGw2up #Ukraine: A Russian BMP-1 IFV was damaged/captured in the East, with at least one member of the crew killed.

Unfortunately it is difficult to determine if this is a new example from the footage available. https://t.co/EGRbxLWT7x #Ukraine: Two Stugna-P ATGM were used by the Ukrainian 30th Mechanized Brigade to destroy a Russian tank somewhere in the East. https://t.co/1Dg3u8h10N #Ukraine: A previously unseen destroyed Russian PTS-3 tracked amphibious transport in the vicinity of Chuhuiv, #Kharkiv Oblast. https://t.co/hDOXIdL2S3 #Ukraine: The Ukrainian forces received the most modern variant of the famous ğŸ‡ºğŸ‡¸ Browning .50 - M2A1. The first examples were transferred to the US Army in 2011. 
The M2A1 is a modernization of a M2 with a quick change barrel which doesn't require adjusting headspace and timing. https://t.co/HrN4yEwgcF"
1505481949854502915,"Video by @u24_gov_ua about real nuclear threat for all humanity. 

I write so mjch about it because the situation is not just disturbing. It is critical.

#RussiaIsATerroristState #Zaporizhzhia https://t.co/oF8eGqu20W"
1523290195650658305,"Does anyone remember all of those stories which were told of how fearsome and effective Russian air defence systems were?

It appears that maybe those statements were a bit...

...inflated.

#HIMARSoCLOCK #WhatAirdefenceDoing #SlavaUkraini #KerchBridgeYourTimeIsAlmostUp https://t.co/nKKvP7OIcT"
